nach Hause | (toward) home
Wie spät ist es? | What time is it?
vor | before (e.g., Es ist zwanzig vor acht.)
halb | half past (e.g., Es ist halb sieben.)
nach | after (e.g., Es ist zehn nach fünf.)
Viertel nach | quarter past (e.g., Viertel nach fünf)
Viertel vor | quarter to (e.g., Viertel vor vier)
um | at (e.g., Um Viertel nach sieben)
ab | after, starting at (e.g., ab 15 Uhr)
von ... bis ... | from ... to ... (e.g., von 9 bis 13 Uhr)
wie lange? | how long?
sein, seine | his
unser, unsere | our
euer, eure | your (plural)
pünktlich | punctual, on time
spät | late
zu | too
Auf Wiederhören! | Talk to you later
vormittags | in the morning, before noon
Kann ich einen Termin haben? | Can I have an appointment?
Es tut mir leid, ich bin zu spät. | I'm sorry, I'm too late.
Was kann ich für Sie tun? | What can I do for you?
offen | open
