der Blogbeitrag | blog post
die Cafeteria | cafeteria
die Hälfte | half
das Kamel | camel
der König | king
der Küchenschrank | kitchen cabinet
die Lieblingsschokolade | favorite chocolate
die Limo | limousine
die Sache | thing, matter
der Anrufbeantworter | answering machine
der Anrufer | caller
das Experiment | experiment
der Fitness-Test | fitness test
das Kilo | kilogram
das Alter | age
das Gewicht | weight
der Arm | arm
der Bauch | stomach
das Bein | leg
die Brust | chest
der Ellbogen | elbow
der Finger | finger
der Fuß | foot
der Hals | neck
die Hand | hand
das Herz | heart
das Knie | knee
der Kopf | head
der Körper | body
der Rücken | back
der Körperteil | body part
die Sportübung | sports exercise
das Handtuch | towel
die Bürste | brush
die Creme | cream
das Duschgel | shower gel
der Föhn | hairdryer
der Kamm | comb
die Seife | soap
das Shampoo | shampoo
das Rezept | prescription
die Salbe | salve
der Verband | bandage
die CD | CD
die Kontrolle | check-up
der Unfall | accident
der Husten | cough
der Hustensaft | cough syrup
der Kamillentee | chamomile tea
die Rückenschmerzen | back pain
der Tropfen | drop
die Bauchschmerzen | stomach pain
das Fieber | fever
die Halsschmerzen | sore throat
die Kopfschmerzen | headache
der Schmerz | pain
die Tablette | pill
der Honig | honey
die Hühnersuppe | chicken soup
die Nelke | clove
der Schnupfen | common cold
die Zahnschmerzen | toothache
das Halsweh | sore throat
das Hausmittel | home remedy
das Mittel | remedy
der Mund | mouth
die Nase | nose
der Pfeffer | pepper
das Rezept | recipe (a recipe for soup)
die Schlaftablette | sleeping pill
die Schmerztablette | painkiller
das Suppenhuhn | chicken for soup
der Tipp | tip, hint
das Vitamin | vitamin
der Witz | joke
der Zahnarzt | dentist
das Krankenhaus | hospital
die Krankenschwester | nurse (f)
das Medikament | medicine
der Notarzt | emergency doctor
der Physiotherapeut | physical therapist
die Physiotherapie | physical therapy
der Rat | advice
die Apotheke | pharmacy
