die Bluse | blouse
der Comic | comic book
die Hose | pants
das Kleid | dress
der Rock | skirt
das T-Shirt | t-shirt
das Familienfest | family reunion
der Gürtel | belt
die Mütze | cap
der Sportschuh | athletic shoe
der Strumpf | sock
der Katalog | catalog
das Kaufhaus | department store
das Kleidergeschäft | clothing store
die Entscheidung | decision
die Jacke | jacket
der Mantel | coat
das Hemd | shirt
der Pullover | pullover, sweater
der Schal | scarf
der Schuh | shoe
der Stiefel | boot
das Sweatshirt | sweatshirt
das Tuch | shawl, handkerchief, cloth
das Paket | package
die Post | postal service
die Größe | size
die Verkäuferin | saleswoman
der Pulli | pullover
die Umkleidekabine | changing room
die Mode | fashion
Abendkleidung | evening wear
die Bademode | swimwear
die Batterie | battery
die Damenmode | women's fashion
die DVD | DVD
das Fitnessgerät | fitness equipment
der Fotoapparat | camera
das Fotozubehör | photo accessory
die Freizeitkleidung | leisure clothes
das Fundbüro | lost and found
die Herrenmode | men's fashion
der~die Jugendliche | youth, young person
die Kosmetik | cosmetics
der Kugelschreiber | ballpoint pen
der Lippenstift | lipstick
das Parfüm | perfume
die Parfümerie | perfumery
der Schmuck | jewelry
die Schreibwaren | stationery
die Spielwaren | toys
der Sportartikel | sporting goods
die Technik | technology
die Uhr | watch, clock (Do you have a new watch?)
das Untergeschoss | basement
die Zeitschrift | magazine, periodical
die Schwester | sister
der Besuch | visit
die Sporthose | sports shorts
die Sportkleidung | sportswear
der Buchladen | bookstore
das Schild | sign
die Atmosphäre | atmosphere
das Design | design
das Design-Atelier | design studio
der Designfan | design fan
der Fotograf | photographer
die Hauptstadt | capital city
der Künstler | artist
das Label | label, brand
die Trendstadt | trendy city
die Überschrift | heading, title
die Ausstellung | exhibition
der Automat | vending machine
der Berliner | person from Berlin (I am a real Berliner.)
der Blick | glance, look
der Deckel | lid
der Designer | designer
das Design-Objekt | designer object
die Form | form, shape, mold
der Hauptbahnhof | main train station
der Hof | courtyard, farmyard
der Individualist | individualist
das Mousepad | mousepad
die Postkarte | postcard
die Presse | press
die Saison | season
der Schuhfan | shoe aficionado
der Schuhladen | footwear store
der Shop | shop
das Souvenir | souvenir
die Tasche | handbag, pocket
die Variation | variation
die Öffnungszeit | business hours
