ein paar | a few, a couple
erster | first
mitten | in the middle of
wohl (Das muss wohl so sein.) | indeed; I guess (That must be the case.)
einige | some
am (Am Vormittag...) | in, during (e.g., in the morning)
aus (Sie geht aus dem Zimmer.) | out (She goes out of the room.)
bei (Ich habe einen Termin bei ...) | at (I have an appointment with...)
vorbei (Laufen Sie an der Kirche vorbei.) | past (Walk past the church.)
Viele Grüße | many greetings
Wie macht man das? | How do you do that?
Drücken Sie die Taste R. | Press the R key
Verbinden Sie mich mit Herrn Mak. | Connect me to Mr. Mak
Sag das auf Holländisch! | Say that in Dutch
Ich melde mich im Fitness-Studio an. | I sign in at the fitness center
bis zu | up to
per | via, by
telefonisch | by telephone
Vielen Dank | thank you very much
zu dritt | in a group of three
einmal | once
Wie oft? | How often?
Wir finden ein Zimmer für Sie. | We are finding a room for you.
außerdem | in addition
ca. (circa) | approx.
insgesamt | all together
täglich | daily
Facebook | Facebook
Twitter | Twitter
Für wen? | Whom?
Ein Kurztext hat nicht mehr als 140 Zeichen. | A short message has no more than 140 characters.
zwischen | between
Ich hab dich lieb. | I love you (informal, affectionate)
Ich schicke die Nachricht weiter. | I’m forwarding the message.
Viele Leute twittern täglich. | Many people tweet daily.
Ich bin neu hier. | I am new here.
Wo? | Where?
